"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"103",34237,2017-05-05,"S2",1.67597656963972,1.58279058396997,1.83049064442542,1.20108457264657,-0.713817410813003,-0.835126137910361,-0.781468331560336,0.575839930727061,1.24999554304895,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"105",34237,2017-08-30,"S2",-0.121829113939176,-0.436786692456327,-0.697123381869183,-1.03442657026284,0.564504418935111,0.63209484497833,0.410775145505152,-0.203080147438503,-0.580789975919933,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"106",34237,2017-05-02,"S2",-0.0856316840684599,-0.462190180210117,0.251781551590254,0.235449581922389,-1.03033087729574,-0.755192791384948,-1.02367212453899,0.217289418555611,0.747240970482367,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"108",34237,2015-08-04,"S2",-1.35254172954352,-1.21159306894692,-1.12539021024468,-1.14686352123757,0.601308310386592,0.921631189059271,0.893305182679688,0.0658327366900847,-0.38632830162531,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"109",34237,2018-05-30,"S2",-1.05089648062089,-0.70352331387112,-0.907058101661094,-0.531767260022851,1.36192206705054,1.04774824691048,1.01159075599485,0.192561797026545,-0.163408821336353,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"111",34237,2018-05-27,"S2",-0.00117101437012237,0.477738866680108,-0.403214774160508,0.38095622436028,1.47724092693185,1.21827271949803,1.11861103661332,0.390382769259069,0.0168239499611022,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"113",34237,2018-09-19,"S2",0.614185293432051,-0.170050071041533,-0.453599106910567,-0.564836951486008,-0.053800957449773,-0.0215822999406026,-0.101795672193869,-0.397810166979893,-0.718336038225885,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"114",34237,2018-06-09,"S2",-1.40080496937115,-0.932154703655229,-1.09180065507798,-0.333349111243909,1.53858074601765,1.38879719208557,1.08106006095772,0.00710463555855415,-0.111236177013405,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"116",34237,2018-08-23,"S2",-0.58032989230158,-0.894049472024544,-0.747507714619242,-0.849236298069157,0.432010409709779,0.207559960098915,0.219265169661562,-0.125806330160173,-0.70885010289444,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"117",34237,2018-05-10,"S2",-0.881975141224214,-0.640014594486646,-0.47039388449392,0.0767150628992363,-0.554333881189917,-0.687693520985711,-0.635019526503473,-0.0145320332793782,0.00259504696393468,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"119",34237,2017-09-24,"S2",0.577987863561335,-0.284365765933588,-0.503983439660625,-0.882305989532314,-0.252541971287771,-0.126383798718366,-0.23697918455405,-0.694541625328679,-0.70885010289444,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"122",34264,2018-05-27,"S2",0.324605854466323,0.503142354433898,0.0418468317983431,0.156082322410813,0.405020889312026,0.287493306624328,0.536570913951432,0.16783417549748,0.216028591921447,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"124",34264,2018-05-30,"S2",-1.20775201006066,-0.995663423039704,-0.932250268036124,-1.09395201489652,0.164568798495682,-0.0802000873925721,0.189224389137077,-0.496720653096155,-0.34838456029953,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"125",34264,2018-06-09,"S2",-1.50939725898329,-1.14808434956244,-1.06660848870295,-0.849236298069157,0.429556816946347,0.317690348645039,0.575999438389818,-0.456538268111424,-0.343641592633808,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"127",34264,2018-08-23,"S2",-0.773382851612066,-1.03376865467039,-0.856673768911036,-1.50401618903966,-0.853672198328631,-0.737429825490412,-0.368407599348671,-0.972727367530666,-0.969713324509178,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"128",34264,2018-09-19,"S2",0.553856243647525,-0.157348327164638,-0.310843497452067,-0.76986903855758,-0.919919202941297,-0.744535011848227,-0.582448160585624,-0.756360679151343,-0.65193449090577,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"129",34264,2015-08-04,"S2",-1.55766049881091,-1.57994364137687,-1.29333798607821,-1.23284471904178,-0.191202152201969,0.0547984534059031,0.320652803931698,-0.672904956490747,-0.76576571488311,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"131",34264,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"132",34264,2015-09-30,"S2",0.264276804681796,-1.0083651669166,-0.713918159452536,-1.35850954660177,-1.72469762934702,-1.70728776333209,-1.78407938156501,-1.60637266921297,-1.21160467546103,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",34264,2016-04-27,"S2",-0.158026543809892,-1.05917214242418,-0.0673192224934506,-0.710343593923898,-1.87927397344324,-1.85827297343565,-1.83852829626564,-1.13345690746959,-0.46221578427687,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"134",34264,2016-05-10,"S2",0.481461383906092,1.02391385338659,0.612869269632341,0.552918619968696,-0.296706641029549,-0.343091982631708,-0.315836233430822,0.563476119962528,0.709297229156587,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"136",34264,2017-05-02,"S2",-0.206289783637514,-0.881347728147649,0.360947605882048,-0.564836951486008,-1.66581140302465,-1.76235295760515,-1.5756714666764,-0.354536829304029,0.320373880567342,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"137",34264,2017-05-05,"S2",3.28072929390814,3.09429810532046,3.40919973726059,2.04105473581076,-0.799693157533125,-0.913283187846321,-0.894121258527153,0.903480915987178,2.01361333723027,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"139",34264,2017-08-30,"S2",-0.520000842517053,-1.12268086180865,-0.923852879244447,-1.50401618903966,-0.964083872683075,-0.650391292607185,-0.623754233806791,-1.13654786016073,-0.99342816283779,NA,NA,NA,NA,NA,NA,NA,42,0,20,25,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
